idx,chain,chip,bit,blob_n,cx_pct,cy_pct,area
1004,5,2,12,0,0.06,53.9,44
1005,5,2,13,0,0.16,56.41,16
1006,5,2,14,0,0.0,55.45,16
1007,5,2,15,0,0.09,55.04,28
1007,5,2,15,1,0.47,49.36,16
1008,5,3,0,0,61.0,84.43,5220
1008,5,3,0,1,0.09,53.66,28
1008,5,3,0,2,0.62,48.72,20
1009,5,3,1,0,60.05,84.15,5188
1009,5,3,1,1,0.25,55.26,20
1009,5,3,1,2,0.16,52.4,16
1010,5,3,2,0,56.0,82.67,2336
1010,5,3,2,1,0.0,55.77,20
1011,5,3,3,0,61.11,88.73,9104
1011,5,3,3,1,0.34,53.03,44
1012,5,3,4,0,61.1,94.87,3428
1012,5,3,4,1,0.16,54.81,32
1013,5,3,5,0,61.16,94.86,3992
1013,5,3,5,1,0.38,51.89,72
1015,5,3,7,0,0.0,56.09,16
1016,5,3,8,0,0.0,55.13,28
1017,5,3,9,0,0.21,54.81,24
1018,5,3,10,0,0.25,53.97,20
1019,5,3,11,0,0.21,55.98,24
1019,5,3,11,1,0.62,48.4,16
1020,5,3,12,0,0.0,56.09,16
1021,5,3,13,0,0.17,54.2,44
1023,5,3,15,0,0.25,52.88,40
1024,5,4,0,0,0.07,54.13,36
1025,5,4,1,0,0.71,48.9,28
1025,5,4,1,1,0.1,55.77,24
1028,5,4,4,0,0.18,55.86,28
1029,5,4,5,0,0.44,51.03,40
1030,5,4,6,0,0.16,53.85,16
1031,5,4,7,0,0.1,54.7,48
1032,5,4,8,0,0.45,52.7,56
1033,5,4,9,0,0.23,53.9,44
1034,5,4,10,0,0.09,55.49,28
1034,5,4,10,1,1.12,45.64,20
1035,5,4,11,0,0.0,55.77,20
1035,5,4,11,1,0.31,52.24,16
1036,5,4,12,0,0.1,55.02,24
1038,5,4,14,0,0.0,54.49,28
1039,5,4,15,0,0.31,52.88,40
1040,5,5,0,0,0.27,53.39,28
1041,5,5,1,0,0.0,54.49,36
1042,5,5,2,0,0.24,54.44,52
1043,5,5,3,0,0.38,51.47,40
1043,5,5,3,1,0.0,56.09,16
1044,5,5,4,0,0.16,55.13,32
1044,5,5,4,1,0.42,50.96,24
1044,5,5,4,2,0.75,45.13,20
1045,5,5,5,0,0.18,52.93,28
1045,5,5,5,1,1.09,46.15,16
1045,5,5,5,2,0.16,56.25,16
1047,5,5,7,0,0.31,51.92,16
1048,5,5,8,0,0.27,53.11,28
1049,5,5,9,0,0.27,52.51,92
1050,5,5,10,0,0.43,50.64,52
1050,5,5,10,1,0.0,56.09,16
1051,5,5,11,0,0.0,55.45,16
1052,5,5,12,0,0.25,55.58,40
1053,5,5,13,0,0.27,53.39,28
1056,5,6,0,0,0.31,52.56,24
1057,5,6,1,0,0.62,48.72,36
1058,5,6,2,0,0.25,55.45,40
1059,5,6,3,0,0.31,51.92,24
1060,5,6,4,0,0.1,54.91,24
1061,5,6,5,0,0.12,54.81,40
1062,5,6,6,0,0.0,55.45,24
1062,5,6,6,1,0.62,49.68,16
1063,5,6,7,0,0.09,55.59,28
1063,5,6,7,1,0.31,51.92,24
1063,5,6,7,2,0.78,44.23,16
1064,5,6,8,0,0.36,54.85,28
1065,5,6,9,0,0.0,56.09,16
1066,5,6,10,0,0.36,52.87,84
1067,5,6,11,0,0.25,52.69,20
